id,label
1,surprise
2,joy
3,surprise
4,surprise
5,joy
6,sad
7,sad
8,sad
9,surprise
10,sad
11,joy
12,joy
13,joy
14,joy
15,fear
16,fear
17,joy
18,surprise
19,surprise
20,joy
21,surprise
22,joy
23,sad
24,surprise
25,joy
26,anger
27,surprise
28,sad
29,anger
30,joy
31,joy
32,joy
33,joy
34,surprise
35,joy
36,joy
37,sad
38,joy
39,surprise
40,fear
41,joy
42,fear
43,surprise
44,joy
45,joy
46,joy
47,joy
48,joy
49,joy
50,surprise
51,joy
52,joy
53,surprise
54,joy
55,sad
56,joy
57,joy
58,joy
59,joy
60,sad
61,joy
62,joy
63,joy
64,joy
65,joy
66,sad
67,joy
68,surprise
69,sad
70,joy
71,joy
72,joy
73,sad
74,joy
75,fear
76,sad
77,joy
78,joy
79,joy
80,joy
81,joy
82,sad
83,joy
84,fear
85,sad
86,joy
87,fear
88,joy
89,joy
90,surprise
91,joy
92,fear
93,joy
94,sad
95,fear
96,sad
97,joy
98,sad
99,surprise
100,joy
101,sad
102,joy
103,sad
104,joy
105,fear
106,sad
107,fear
108,joy
109,joy
110,joy
111,sad
112,fear
113,joy
114,joy
115,joy
116,joy
117,fear
118,joy
119,joy
120,fear
121,joy
122,surprise
123,joy
124,sad
125,sad
126,joy
127,surprise
128,joy
129,surprise
130,joy
131,joy
132,joy
133,sad
134,sad
135,joy
136,joy
137,sad
138,joy
139,joy
140,anger
141,joy
142,sad
143,joy
144,sad
145,joy
146,joy
147,surprise
148,sad
149,surprise
150,sad
151,sad
152,joy
153,joy
154,surprise
155,joy
156,joy
157,surprise
158,joy
159,joy
160,joy
161,joy
162,sad
163,joy
164,fear
165,fear
166,sad
167,joy
168,joy
169,joy
170,joy
171,joy
172,sad
173,fear
174,surprise
175,sad
176,joy
177,fear
178,joy
179,joy
180,joy
181,fear
182,sad
183,joy
184,fear
185,surprise
186,joy
187,sad
188,joy
189,joy
190,fear
191,fear
192,joy
193,surprise
194,surprise
195,joy
196,sad
197,joy
198,joy
199,sad
200,fear
201,joy
202,sad
203,surprise
204,anger
205,surprise
206,surprise
207,fear
208,joy
209,joy
210,joy
211,joy
212,fear
213,sad
214,sad
215,joy
216,joy
217,joy
218,joy
219,sad
220,joy
221,joy
222,joy
223,joy
224,joy
225,fear
226,sad
227,joy
228,sad
229,joy
230,joy
231,joy
232,joy
233,joy
234,fear
235,joy
236,joy
237,surprise
238,surprise
239,joy
240,fear
241,joy
242,joy
243,joy
244,sad
245,sad
246,joy
247,joy
248,surprise
249,sad
250,joy
251,joy
252,joy
253,joy
254,joy
255,joy
256,fear
257,sad
258,sad
259,sad
260,joy
261,surprise
262,joy
263,joy
264,sad
265,joy
266,joy
267,sad
268,disgust
269,sad
270,joy
271,fear
272,fear
273,sad
274,joy
275,joy
276,joy
277,surprise
278,sad
279,fear
280,fear
281,sad
282,sad
283,joy
284,joy
285,joy
286,sad
287,fear
288,sad
289,sad
290,joy
291,joy
292,surprise
293,joy
294,fear
295,joy
296,joy
297,anger
298,fear
299,sad
300,fear
301,joy
302,joy
303,joy
304,sad
305,sad
306,fear
307,surprise
308,joy
309,joy
310,sad
311,fear
312,sad
